P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts,Confident
1,1,1,860,919,1917,High,5.317073171,5.43902439
3,1,1,814,815,2144,High,5.317073171,5.43902439
5,1,1,535,397,2726,High,5.317073171,5.43902439
7,1,1,3941,527,1130,High,5.317073171,5.43902439
9,1,1,476,397,1335,High,5.317073171,5.43902439
11,1,1,181,313,1489,High,5.317073171,5.43902439
13,1,1,2816,2089,2310,High,5.317073171,5.43902439
15,1,1,706,545,2209,High,5.317073171,5.43902439
17,1,1,138,297,1553,High,5.317073171,5.43902439
19,1,1,445,461,1052,High,5.317073171,5.43902439
21,1,1,321,341,956,High,5.317073171,5.43902439
23,1,1,402,735,1081,High,5.317073171,5.43902439
2,1,2,390,833,1331,Low,4.288888889,5.155555556
4,1,2,1772,600,2333,Low,4.288888889,5.155555556
6,1,2,422,596,3330,Low,4.288888889,5.155555556
8,1,2,795,739,1329,Low,4.288888889,5.155555556
10,1,2,585,606,2694,Low,4.288888889,5.155555556
12,1,2,511,679,672,Low,4.288888889,5.155555556
14,1,2,1276,854,3791,Low,4.288888889,5.155555556
16,1,2,1899,2555,3014,Low,4.288888889,5.155555556
18,1,2,646,665,2246,Low,4.288888889,5.155555556
20,1,2,780,339,793,Low,4.288888889,5.155555556
22,1,2,767,678,3222,Low,4.288888889,5.155555556
24,1,2,552,505,1813,Low,4.288888889,5.155555556
2,2,1,233,336,1969,High,5.489361702,5.553191489
4,2,1,994,992,2743,High,5.489361702,5.553191489
6,2,1,767,507,5603,High,5.489361702,5.553191489
8,2,1,735,404,2796,High,5.489361702,5.553191489
10,2,1,526,450,5731,High,5.489361702,5.553191489
12,2,1,266,822,,High,5.489361702,5.553191489
14,2,1,1141,873,5906,High,5.489361702,5.553191489
16,2,1,2412,844,,High,5.489361702,5.553191489
18,2,1,1133,670,2091,High,5.489361702,5.553191489
20,2,1,1200,1132,3462,High,5.489361702,5.553191489
22,2,1,530,574,3161,High,5.489361702,5.553191489
24,2,1,319,478,2271,High,5.489361702,5.553191489
1,2,2,1501,709,4783,Low,3.756097561,4.902439024
3,2,2,517,403,2139,Low,3.756097561,4.902439024
5,2,2,329,542,2674,Low,3.756097561,4.902439024
7,2,2,,2355,3006,Low,3.756097561,4.902439024
9,2,2,1000,1373,2704,Low,3.756097561,4.902439024
11,2,2,938,384,1643,Low,3.756097561,4.902439024
13,2,2,1850,1463,2152,Low,3.756097561,4.902439024
15,2,2,470,344,2993,Low,3.756097561,4.902439024
17,2,2,467,600,2343,Low,3.756097561,4.902439024
19,2,2,377,428,1149,Low,3.756097561,4.902439024
21,2,2,681,516,2225,Low,3.756097561,4.902439024
23,2,2,2257,461,3019,Low,3.756097561,4.902439024
1,3,1,688,1527,3018,High,5.475,5.55
3,3,1,621,475,2562,High,5.475,5.55
5,3,1,378,619,1168,High,5.475,5.55
7,3,1,,2685,3272,High,5.475,5.55
9,3,1,430,701,1291,High,5.475,5.55
11,3,1,1483,3182,1074,High,5.475,5.55
13,3,1,707,1306,4888,High,5.475,5.55
15,3,1,239,503,1912,High,5.475,5.55
17,3,1,224,461,1390,High,5.475,5.55
19,3,1,775,403,1512,High,5.475,5.55
21,3,1,530,1749,3105,High,5.475,5.55
23,3,1,545,691,2058,High,5.475,5.55
2,3,2,171,672,1595,Low,4.127659574,5.212765957
4,3,2,690,660,2966,Low,4.127659574,5.212765957
6,3,2,337,623,4546,Low,4.127659574,5.212765957
8,3,2,597,790,2450,Low,4.127659574,5.212765957
10,3,2,473,827,5539,Low,4.127659574,5.212765957
12,3,2,938,579,1516,Low,4.127659574,5.212765957
14,3,2,636,1161,3592,Low,4.127659574,5.212765957
16,3,2,842,1464,2634,Low,4.127659574,5.212765957
18,3,2,2162,1137,2972,Low,4.127659574,5.212765957
