P.s,Item,Cond,Antecedent,Consequent,spillover,Fit,Accepts
1,1,1,860,919,1917,High,5.317073171
3,1,1,1096,815,1293,High,5.317073171
5,1,1,535,397,1121,High,5.317073171
7,1,1,1778,527,1130,High,5.317073171
9,1,1,476,397,1335,High,5.317073171
11,1,1,181,313,1489,High,5.317073171
13,1,1,2573,2089,2160,High,5.317073171
15,1,1,706,545,1564,High,5.317073171
17,1,1,138,297,1553,High,5.317073171
19,1,1,445,461,1052,High,5.317073171
21,1,1,321,341,956,High,5.317073171
23,1,1,402,735,1081,High,5.317073171
2,1,2,390,833,1331,Low,4.288888889
4,1,2,828,600,2333,Low,4.288888889
6,1,2,422,596,1233,Low,4.288888889
8,1,2,795,739,1329,Low,4.288888889
10,1,2,585,606,2694,Low,4.288888889
12,1,2,511,679,672,Low,4.288888889
14,1,2,1276,854,3791,Low,4.288888889
16,1,2,1309,2555,2025,Low,4.288888889
18,1,2,864,665,2028,Low,4.288888889
20,1,2,780,339,793,Low,4.288888889
22,1,2,774,678,1981,Low,4.288888889
24,1,2,552,505,1612,Low,4.288888889
2,2,1,233,336,1969,High,5.489361702
4,2,1,645,807,2743,High,5.489361702
6,2,1,1178,727,3660,High,5.489361702
8,2,1,735,404,2796,High,5.489361702
10,2,1,832,450,5425,High,5.489361702
12,2,1,87,721,,High,5.489361702
14,2,1,1141,1627,5152,High,5.489361702
16,2,1,1737,844,1666,High,5.489361702
18,2,1,1133,670,2091,High,5.489361702
20,2,1,1200,1132,3462,High,5.489361702
22,2,1,530,574,2501,High,5.489361702
24,2,1,319,478,2084,High,5.489361702
1,2,2,1319,709,3328,Low,3.756097561
3,2,2,517,575,1967,Low,3.756097561
5,2,2,329,542,2674,Low,3.756097561
7,2,2,618,845,3006,Low,3.756097561
9,2,2,1000,1373,2590,Low,3.756097561
11,2,2,586,384,1643,Low,3.756097561
13,2,2,1850,1463,2152,Low,3.756097561
15,2,2,470,344,2993,Low,3.756097561
17,2,2,467,600,2233,Low,3.756097561
19,2,2,377,428,1149,Low,3.756097561
21,2,2,393,516,2225,Low,3.756097561
23,2,2,1934,617,2863,Low,3.756097561
1,3,1,688,1527,3018,High,5.475
3,3,1,367,849,2188,High,5.475
5,3,1,378,619,1168,High,5.475
7,3,1,682,1269,2417,High,5.475
9,3,1,430,701,1291,High,5.475
11,3,1,1143,1702,1074,High,5.475
13,3,1,551,1306,4888,High,5.475
15,3,1,239,687,1728,High,5.475
17,3,1,224,461,1390,High,5.475
19,3,1,89,403,1512,High,5.475
21,3,1,530,1749,2093,High,5.475
23,3,1,545,691,1310,High,5.475
2,3,2,171,672,1595,Low,4.127659574
4,3,2,690,745,2712,Low,4.127659574
6,3,2,337,623,1980,Low,4.127659574
8,3,2,597,790,2450,Low,4.127659574
10,3,2,473,827,2439,Low,4.127659574
12,3,2,711,871,1224,Low,4.127659574
14,3,2,636,1161,3592,Low,4.127659574
16,3,2,1136,1170,2634,Low,4.127659574
18,3,2,1105,966,2750,Low,4.127659574
20,3,2,459,1122,2761,Low,4.127659574
22,3,2,1348,1362,1400,Low,4.127659574
24,3,2,286,1081,1077,Low,4.127659574
2,4,1,659,1098,1207,High,5.14893617
4,4,1,613,1284,4175,High,5.14893617
6,4,1,719,,2752,High,5.14893617
8,4,1,338,1527,3034,High,5.14893617
10,4,1,1105,1771,5903,High,5.14893617
12,4,1,2243,1316,4884,High,5.14893617
14,4,1,841,2112,4757,High,5.14893617
16,4,1,1052,1578,4783,High,5.14893617
18,4,1,775,1750,2498,High,5.14893617
20,4,1,1102,1735,3827,High,5.14893617
22,4,1,982,1001,1706,High,5.14893617
24,4,1,152,1023,1965,High,5.14893617
1,4,2,1464,1106,3848,Low,4.243902439
3,4,2,319,584,2228,Low,4.243902439
5,4,2,506,482,1662,Low,4.243902439
7,4,2,618,1024,2632,Low,4.243902439
9,4,2,389,910,1739,Low,4.243902439
11,4,2,263,700,1761,Low,4.243902439
13,4,2,1119,3806,4206,Low,4.243902439
15,4,2,669,654,3849,Low,4.243902439
17,4,2,1588,2201,1943,Low,4.243902439
19,4,2,668,1481,2652,Low,4.243902439
21,4,2,815,641,1294,Low,4.243902439
23,4,2,1378,1746,1625,Low,4.243902439
1,5,1,1533,1188,2786,High,4.627906977
3,5,1,462,677,998,High,4.627906977
5,5,1,895,875,2185,High,4.627906977
7,5,1,750,1239,2733,High,4.627906977
9,5,1,569,1101,1959,High,4.627906977
11,5,1,483,632,2193,High,4.627906977
13,5,1,1169,1943,2458,High,4.627906977
15,5,1,361,616,1716,High,4.627906977
17,5,1,544,579,1459,High,4.627906977
19,5,1,450,922,742,High,4.627906977
21,5,1,274,826,1780,High,4.627906977
23,5,1,1455,1335,1529,High,4.627906977
2,5,2,458,770,2455,Low,3.630434783
4,5,2,1024,1729,2005,Low,3.630434783
6,5,2,595,419,1458,Low,3.630434783
8,5,2,432,1090,2145,Low,3.630434783
10,5,2,654,691,2658,Low,3.630434783
12,5,2,1009,991,706,Low,3.630434783
14,5,2,1147,1575,3828,Low,3.630434783
16,5,2,743,385,1914,Low,3.630434783
18,5,2,736,1055,2170,Low,3.630434783
20,5,2,792,2046,2403,Low,3.630434783
22,5,2,331,552,1756,Low,3.630434783
24,5,2,338,621,1849,Low,3.630434783
2,6,1,677,421,2074,High,3.97826087
4,6,1,1080,606,1409,High,3.97826087
6,6,1,905,510,1859,High,3.97826087
8,6,1,1078,594,2827,High,3.97826087
10,6,1,994,1062,3498,High,3.97826087
12,6,1,1543,621,1635,High,3.97826087
14,6,1,2387,792,4131,High,3.97826087
16,6,1,1047,1122,3547,High,3.97826087
18,6,1,3431,1454,2992,High,3.97826087
20,6,1,1410,1014,3438,High,3.97826087
22,6,1,620,390,1080,High,3.97826087
24,6,1,1631,583,2349,High,3.97826087
1,6,2,1282,791,2529,Low,3.214285714
3,6,2,737,390,1739,Low,3.214285714
5,6,2,700,608,1246,Low,3.214285714
7,6,2,3364,1105,1886,Low,3.214285714
9,6,2,1239,1215,1895,Low,3.214285714
11,6,2,786,799,1460,Low,3.214285714
13,6,2,2425,1024,4098,Low,3.214285714
15,6,2,921,610,2404,Low,3.214285714
17,6,2,3143,1344,1685,Low,3.214285714
19,6,2,672,426,1419,Low,3.214285714
21,6,2,2099,1103,2020,Low,3.214285714
23,6,2,3248,903,3086,Low,3.214285714
1,7,1,792,889,2551,High,4.951219512
3,7,1,451,529,1157,High,4.951219512
5,7,1,1225,649,1373,High,4.951219512
7,7,1,747,1269,2221,High,4.951219512
9,7,1,852,795,1627,High,4.951219512
11,7,1,284,321,830,High,4.951219512
13,7,1,634,1163,2206,High,4.951219512
15,7,1,158,762,2341,High,4.951219512
17,7,1,879,552,1534,High,4.951219512
19,7,1,226,562,2284,High,4.951219512
21,7,1,508,1033,1783,High,4.951219512
23,7,1,2131,1977,3093,High,4.951219512
2,7,2,1016,765,2220,Low,3.465116279
4,7,2,1239,925,1149,Low,3.465116279
6,7,2,866,565,1759,Low,3.465116279
8,7,2,441,1166,1393,Low,3.465116279
10,7,2,1992,1015,2469,Low,3.465116279
12,7,2,1045,1227,2042,Low,3.465116279
14,7,2,823,1080,3337,Low,3.465116279
16,7,2,831,2571,5455,Low,3.465116279
18,7,2,1031,1502,2477,Low,3.465116279
20,7,2,1128,1749,2303,Low,3.465116279
22,7,2,347,1000,1725,Low,3.465116279
24,7,2,399,1003,2422,Low,3.465116279
2,8,1,604,621,1608,High,5.260869565
4,8,1,658,1209,3610,High,5.260869565
6,8,1,600,517,1355,High,5.260869565
8,8,1,788,1056,2418,High,5.260869565
10,8,1,966,1289,4316,High,5.260869565
12,8,1,697,553,1075,High,5.260869565
14,8,1,979,1314,2719,High,5.260869565
16,8,1,1459,1250,2571,High,5.260869565
18,8,1,1321,1013,3046,High,5.260869565
20,8,1,857,2044,2395,High,5.260869565
22,8,1,938,1079,2391,High,5.260869565
24,8,1,578,529,943,High,5.260869565
1,8,2,1109,901,2502,Low,4.725
3,8,2,713,1025,1884,Low,4.725
5,8,2,352,539,1327,Low,4.725
7,8,2,421,743,2508,Low,4.725
9,8,2,523,696,1455,Low,4.725
11,8,2,471,502,1203,Low,4.725
13,8,2,869,1148,3913,Low,4.725
15,8,2,407,446,1887,Low,4.725
17,8,2,186,509,1306,Low,4.725
19,8,2,375,414,1362,Low,4.725
21,8,2,2230,800,2389,Low,4.725
23,8,2,2021,1514,3342,Low,4.725
1,9,1,720,1377,1297,High,5
3,9,1,775,947,997,High,5
5,9,1,850,992,913,High,5
7,9,1,702,1126,2757,High,5
9,9,1,560,881,1154,High,5
11,9,1,520,802,1355,High,5
13,9,1,1480,1483,2211,High,5
15,9,1,624,937,3113,High,5
17,9,1,308,618,1537,High,5
19,9,1,1370,782,930,High,5
21,9,1,1178,1480,1246,High,5
23,9,1,1210,1712,2571,High,5
2,9,2,898,769,1166,Low,4.02173913
4,9,2,1560,1811,1945,Low,4.02173913
6,9,2,1054,2082,966,Low,4.02173913
8,9,2,907,1044,868,Low,4.02173913
10,9,2,2443,3001,2527,Low,4.02173913
12,9,2,367,857,1188,Low,4.02173913
14,9,2,1171,1403,3013,Low,4.02173913
16,9,2,908,1042,2462,Low,4.02173913
18,9,2,992,1632,2315,Low,4.02173913
20,9,2,1136,1756,1771,Low,4.02173913
22,9,2,537,743,1010,Low,4.02173913
24,9,2,880,1902,815,Low,4.02173913
2,10,1,427,734,1578,High,5.113636364
4,10,1,970,2284,2449,High,5.113636364
6,10,1,651,1091,2249,High,5.113636364
8,10,1,1204,1361,1113,High,5.113636364
10,10,1,816,1153,1274,High,5.113636364
12,10,1,1684,1590,1321,High,5.113636364
14,10,1,1612,2567,2458,High,5.113636364
16,10,1,1728,1619,4985,High,5.113636364
18,10,1,1510,1429,2653,High,5.113636364
20,10,1,1591,1505,2003,High,5.113636364
22,10,1,929,850,2397,High,5.113636364
24,10,1,1029,1436,2561,High,5.113636364
1,10,2,1425,2122,2223,Low,4.380952381
3,10,2,1328,938,1749,Low,4.380952381
5,10,2,600,1182,1575,Low,4.380952381
7,10,2,1095,2144,1418,Low,4.380952381
9,10,2,1280,1123,2463,Low,4.380952381
11,10,2,1657,2098,1476,Low,4.380952381
13,10,2,1749,2367,2715,Low,4.380952381
15,10,2,600,1152,2876,Low,4.380952381
17,10,2,1842,1711,3468,Low,4.380952381
19,10,2,145,539,1046,Low,4.380952381
21,10,2,1406,1865,1366,Low,4.380952381
23,10,2,3249,2234,2145,Low,4.380952381
1,11,1,1339,636,3797,High,4.625
3,11,1,504,369,2048,High,4.625
5,11,1,627,495,1794,High,4.625
