V8,V9,V10,Consent,CrowdFlower ID,Gender,Age,check,check_TEXT,1A_acceptance,1A_confidence,2B_acceptance,2B_confidence,3A_acceptance,3A_confidence,4B_acceptance,4B_confidence,5A_acceptance,5A_confidence,6B_acceptance,6B_confidence,7A_acceptance,7A_confidence,8B_acceptance,8B_confidence,9A_acceptance,9A_confidence,10B_acceptance,10B_confidence,11A_acceptance,11A_confidence,12B_acceptance,12B_confidence,13A_acceptance,13A_confidence,14B_acceptance,14B_confidence,15A_acceptance,15A_confidence,16B_acceptance,16B_confidence,17A_acceptance,17A_confidence,18B_acceptance,18B_confidence,1B_acceptance,1B_confidence,2A_acceptance,2A_confidence,3B_acceptance,3B_confidence,4A_acceptance,4A_confidence,5B_acceptance,5B_confidence,6A_acceptance,6A_confidence,7B_acceptance,7B_confidence,8A_acceptance,8A_confidence,9B_acceptance,9B_confidence,10A_acceptance,10A_confidence,11B_acceptance,11B_confidence,12A_acceptance,12A_confidence,13B_acceptance,13B_confidence,14A_acceptance,14A_confidence,15B_acceptance,15B_confidence,16A_acceptance,16A_confidence,17B_acceptance,17B_confidence,18A_acceptance,18A_confidence,serious
StartDate,EndDate,Finished,"If you would like to take part in this study, please read the statement below and click ""I agree""...",Please enter your CrowdFlower ID.,Please select your gender,Please enter your age,"Below is a list of hobbies. If you are reading these instructions, please write ""I read the instr...","Below is a list of hobbies. If you are reading these instructions, please write ""I read the instr...-TEXT","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...","Suppose [a] is true. Then how well, in your opinion, does [b] explain [a]?","Using the seven-point scale below, please indicate how confident you felt at the time of providin...",Please indicate whether or not you responded seriously to the questions in this experiment. (Note...
16/06/17 11:46,16/06/17 11:47,1,1,43383669,1,22,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,7,1,5,4,,,3,4,3,6,,,5,4,,,5,4,,,5,2,5,4,,,,,,,1
16/06/17 11:43,16/06/17 11:48,1,1,2438945,2,41,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,4,3,5,6,3,6,,,,,,,3,5,,,3,4,,,4,5,,,5,6,5,6,,,4,7,1
16/06/17 11:51,16/06/17 11:54,1,1,43410631,2,20,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,5,,,,,1,7,4,4,,,4,4,7,7,,,7,7,6,6,6,6,5,5,1
16/06/17 11:50,16/06/17 11:55,1,1,38323940,1,30,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,,,4,6,,,5,6,6,6,6,5,,,,,6,5,,,,,6,5,,,6,6,5,5,,,1
16/06/17 11:52,16/06/17 11:57,1,1,21088425,2,55,7,I read the instructions,7,6,,,6,6,,,6,6,4,3,4,7,,,4,4,,,6,6,4,7,,,4,7,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 11:54,16/06/17 12:01,1,1,42693607,1,30,7,i read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,6,6,5,6,6,,,,,,,6,5,5,6,5,6,4,5,,,,,,,,,,,6,6,6,6,1
16/06/17 11:46,16/06/17 12:04,1,1,40493244,1,32,7,I read the instruction in the other box,5,6,,,,,3,5,6,5,2,6,,,,,2,5,6,6,,,2,5,,,4,5,5,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:02,16/06/17 12:05,1,1,43451178,1,25,1,,,,5,6,,,6,6,,,,,6,6,6,7,,,4,4,5,4,,,4,4,,,5,6,6,6,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 11:55,16/06/17 12:12,1,1,42435779,1,27,7,I read the instructions,,,4,6,,,,,4,7,,,,,3,7,6,6,7,7,5,6,2,6,,,7,7,,,7,7,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 11:59,16/06/17 12:13,1,1,43341647,2,23,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,,,5,3,7,7,7,7,,,,,,,,,6,7,1,1,1,4,4,6,7,6,,,3,3,1
16/06/17 12:12,16/06/17 12:18,1,1,5055767,1,50,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,,,4,4,,,,,,,2,5,5,6,,,6,6,4,3,,,,,6,5,,,4,5,5,5,2,2,1
16/06/17 12:14,16/06/17 12:18,1,1,43601395,1,30,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,5,5,6,5,6,,,,,,,5,6,5,6,,,6,6,5,6,,,5,6,,,,,,,6,6,2
16/06/17 12:05,16/06/17 12:18,1,1,31883685,2,51,7,I read the instructions,5,6,,,5,6,4,5,,,4,5,4,5,5,6,,,,,,,4,5,6,6,,,6,6,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:14,16/06/17 12:21,1,1,43500956,2,30,7,I read the instructions,,,,,5,6,,,5,6,6,5,5,6,,,6,7,6,6,,,6,6,,,5,6,,,5,6,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
16/06/17 12:10,16/06/17 12:23,1,1,29463692,1,47,7,I read the instructions,5,5,3,5,6,5,2,6,,,4,3,,,,,4,4,,,6,6,,,6,6,,,6,6,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:16,16/06/17 12:23,1,1,20306047,1,39,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,,2,6,,,2,3,2,4,2,5,,,,,5,5,,,7,7,2,6,,,3,3,,,2,5,,,1
16/06/17 12:15,16/06/17 12:25,1,1,41502611,1,28,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,7,7,7,4,4,,,4,4,7,7,2,6,6,6,4,6,2,4,1
16/06/17 12:22,16/06/17 12:25,1,1,13197642,2,37,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,1,6,,,2,5,5,5,1,5,,,4,4,,,2,5,1,5,,,1,6,,,,,1,6,,,,,1
16/06/17 12:14,16/06/17 12:26,1,1,39598128,1,30,7,I read the instructions,5,6,4,5,,,6,6,,,,,6,5,,,,,5,6,5,6,5,6,5,6,,,5,6,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
16/06/17 12:20,16/06/17 12:26,1,1,4385969,2,27,7,I read the instructions,4,3,,,5,3,,,,,2,2,5,4,4,4,5,4,4,4,,,,,,,3,1,,,5,4,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16/06/17 12:23,16/06/17 12:29,1,1,31988217,2,51,7,I read the instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4,4,6,5,1,5,3,2,2,5,,,2,5,,,,,2,5,,,,,3,5,,,,,4,3,1
